claim_id,customer_id,policy_type,claim_amount,claim_status,incident_type,state,adjuster_id,fraud_flag,claim_date
59,4470,Auto,37224.08,Approved,Flood,MO,202,0,2026-05-25 10:28:28.320535
60,4982,Home,40687.39,Pending,Accident,AR,281,0,2026-05-25 10:28:28.320544
61,2473,Home,25706.98,Pending,Fire,AK,213,1,2026-05-25 10:28:28.320555
62,3115,Life,47575.79,Denied,Flood,AL,271,0,2026-05-25 10:28:28.320565
63,4994,Auto,35056.12,Pending,Fire,OH,137,0,2026-05-25 10:28:28.320576
64,1127,Home,48908.43,Denied,Accident,NC,162,1,2026-05-25 10:28:28.320586
65,3036,Life,42422.49,Pending,Accident,GU,208,0,2026-05-25 10:28:28.320596
66,2694,Life,45775.46,Pending,Flood,IN,133,0,2026-05-25 10:28:28.320606
67,3296,Home,4629.99,Approved,Flood,KY,134,0,2026-05-25 10:28:28.320616
68,3444,Home,8297.33,Denied,Accident,TN,170,0,2026-05-25 10:28:28.320627
69,3304,Auto,48101.86,Approved,Theft,AZ,280,0,2026-05-25 10:28:28.320637
70,3723,Life,9052.12,Approved,Accident,GU,201,0,2026-05-25 10:28:28.320646
71,4940,Life,16049.79,Approved,Fire,HI,280,0,2026-05-25 10:28:28.320656
72,1922,Auto,26270.69,Pending,Accident,RI,254,0,2026-05-25 10:28:28.320666
73,1376,Life,30939.97,Pending,Theft,UT,199,1,2026-05-25 10:28:28.320676
74,4031,Auto,21824.94,Approved,Flood,TX,236,0,2026-05-25 10:28:28.320686
75,2101,Auto,4236.47,Denied,Theft,IA,191,0,2026-05-25 10:28:28.320696
76,3773,Auto,25201.7,Denied,Flood,MP,234,0,2026-05-25 10:28:28.320709
77,2559,Auto,4192.21,Denied,Accident,VT,214,0,2026-05-25 10:28:28.320719
78,1358,Life,10377.87,Denied,Theft,GA,112,0,2026-05-25 10:28:28.320731
79,4752,Home,33596.4,Pending,Theft,GU,138,1,2026-05-25 10:28:28.320744
80,4521,Home,26416.14,Pending,Accident,WV,215,1,2026-05-25 10:28:28.320754
81,2703,Auto,26724.45,Approved,Flood,NH,250,0,2026-05-25 10:28:28.320764
82,4537,Life,8467.26,Approved,Accident,MO,190,0,2026-05-25 10:28:28.320773
83,3591,Home,48501.3,Approved,Flood,ME,134,0,2026-05-25 10:28:28.320783
84,4337,Auto,35105.97,Denied,Fire,MO,222,0,2026-05-25 10:28:28.320793
85,2769,Life,19427.45,Pending,Accident,AR,190,0,2026-05-25 10:28:28.320803
86,2440,Life,21461.76,Denied,Fire,AS,173,0,2026-05-25 10:28:28.320813
87,3366,Life,13103.29,Approved,Flood,NE,182,0,2026-05-25 10:28:28.320823
88,1396,Home,24195.43,Pending,Flood,CT,216,1,2026-05-25 10:28:28.320833
89,4656,Life,37513.26,Denied,Flood,OH,200,0,2026-05-25 10:28:28.320842
90,2708,Life,47540.74,Denied,Accident,MI,247,1,2026-05-25 10:28:28.320852
91,3428,Auto,31893.12,Denied,Flood,LA,137,0,2026-05-25 10:28:28.320862
92,3560,Life,33859.86,Pending,Fire,NC,170,0,2026-05-25 10:28:28.320875
93,2493,Auto,39697.3,Pending,Accident,GA,206,1,2026-05-25 10:28:28.320886
94,4832,Auto,9826.74,Denied,Accident,WV,118,0,2026-05-25 10:28:28.320896
95,4284,Life,49925.52,Approved,Accident,OR,213,0,2026-05-25 10:28:28.320909
96,2345,Auto,41000.0,Denied,Flood,OH,224,1,2026-05-25 10:28:28.320919
97,4578,Home,49065.54,Pending,Fire,WI,161,1,2026-05-25 10:28:28.320930
98,1785,Home,25377.34,Pending,Accident,AL,185,1,2026-05-25 10:28:28.320942
99,2215,Home,6977.76,Pending,Accident,SD,195,1,2026-05-25 10:28:28.320953
100,1520,Life,43548.98,Denied,Accident,MN,221,0,2026-05-25 10:28:28.320963
101,4026,Auto,46055.81,Pending,Accident,WI,274,0,2026-05-25 10:28:28.320973
102,4589,Life,48043.1,Denied,Theft,OR,101,0,2026-05-25 10:28:28.320983
103,2819,Life,46331.91,Approved,Theft,NV,219,1,2026-05-25 10:28:28.320993
104,4343,Life,17071.24,Approved,Fire,NM,285,0,2026-05-25 10:28:28.321002
105,1206,Auto,6306.34,Pending,Fire,FM,170,1,2026-05-25 10:28:28.321012
106,2655,Life,3503.67,Denied,Flood,SC,163,0,2026-05-25 10:28:28.321023
107,3695,Life,2768.21,Denied,Theft,WI,264,0,2026-05-25 10:28:28.321032
108,2245,Life,45086.05,Denied,Fire,OH,148,0,2026-05-25 10:28:28.321042
109,1408,Life,24502.86,Denied,Accident,KS,199,0,2026-05-25 10:28:28.321052
110,2008,Home,30997.17,Approved,Accident,NV,246,0,2026-05-25 10:28:28.321065
111,1600,Auto,7898.51,Denied,Accident,CT,177,0,2026-05-25 10:28:28.321075
112,4424,Home,16078.82,Approved,Fire,MT,232,0,2026-05-25 10:28:28.321085
113,3288,Auto,20184.23,Denied,Theft,MA,205,0,2026-05-25 10:28:28.321096
114,2339,Life,8579.18,Approved,Flood,MH,132,0,2026-05-25 10:28:28.321106
115,4001,Home,47114.45,Denied,Flood,AR,257,0,2026-05-25 10:28:28.321119
116,3389,Auto,28917.29,Approved,Flood,NJ,253,0,2026-05-25 10:28:28.321129
117,1884,Life,24350.89,Approved,Theft,PW,260,0,2026-05-25 10:28:28.321138
118,3722,Home,38744.11,Approved,Accident,FL,158,1,2026-05-25 10:28:28.321148
119,2096,Auto,10043.21,Approved,Flood,PA,281,1,2026-05-25 10:28:28.321158
120,2409,Auto,32897.35,Pending,Fire,GA,175,0,2026-05-25 10:28:28.321169
121,3389,Auto,46732.7,Denied,Theft,AK,214,1,2026-05-25 10:28:28.321180
122,1943,Auto,38468.51,Denied,Accident,RI,117,0,2026-05-25 10:28:28.321189
123,1606,Life,32176.27,Pending,Theft,WA,176,0,2026-05-25 10:28:28.321199
124,4070,Home,21502.27,Pending,Accident,VT,235,0,2026-05-25 10:28:28.321209
125,1423,Auto,6845.79,Pending,Theft,TN,228,0,2026-05-25 10:28:28.321219
126,1000,Life,12773.87,Approved,Flood,IA,226,0,2026-05-25 10:28:28.321229
127,3939,Auto,25553.96,Denied,Fire,WA,106,0,2026-05-25 10:28:28.321239
128,2385,Life,38644.38,Approved,Flood,PW,106,0,2026-05-25 10:28:28.321249
129,2663,Auto,38752.47,Pending,Flood,SC,102,0,2026-05-25 10:28:28.321258
130,1842,Life,8003.97,Approved,Accident,PW,221,0,2026-05-25 10:28:28.321270
131,1479,Life,31066.77,Denied,Fire,NC,235,0,2026-05-25 10:28:28.321280
132,3270,Life,28230.38,Approved,Flood,ID,243,0,2026-05-25 10:28:28.321290
133,3929,Auto,20188.78,Pending,Accident,WI,251,0,2026-05-25 10:28:28.321300
134,4667,Home,29292.93,Denied,Accident,IL,130,1,2026-05-25 10:28:28.321313
135,1535,Life,4250.84,Pending,Fire,TX,228,0,2026-05-25 10:28:28.321323
136,1823,Auto,40058.74,Approved,Accident,MS,156,0,2026-05-25 10:28:28.321333
137,3553,Home,30090.88,Approved,Accident,ND,241,1,2026-05-25 10:28:28.321342
138,2920,Auto,16243.02,Denied,Flood,VT,220,1,2026-05-25 10:28:28.321352
139,3428,Home,13532.71,Pending,Accident,AZ,292,0,2026-05-25 10:28:28.321361
140,2896,Life,39972.04,Denied,Flood,DE,292,0,2026-05-25 10:28:28.321371
141,3724,Life,29870.57,Denied,Accident,ND,268,1,2026-05-25 10:28:28.321384
142,1249,Home,8645.0,Denied,Flood,ID,248,0,2026-05-25 10:28:28.321394
143,2409,Home,45637.43,Denied,Accident,MH,284,0,2026-05-25 10:28:28.321404
144,2245,Home,4522.32,Pending,Flood,VT,158,0,2026-05-25 10:28:28.321414
145,1802,Auto,34470.21,Approved,Accident,PA,121,0,2026-05-25 10:28:28.321423
146,3392,Auto,4226.73,Pending,Accident,KS,269,0,2026-05-25 10:28:28.321433
147,2664,Home,17143.75,Approved,Theft,WV,237,0,2026-05-25 10:28:28.321442
148,2874,Life,4411.54,Pending,Theft,OH,157,1,2026-05-25 10:28:28.321452
149,2760,Auto,17571.12,Denied,Flood,MI,102,0,2026-05-25 10:28:28.321462
150,3207,Home,39625.74,Denied,Fire,CA,104,1,2026-05-25 10:28:28.321472
151,2639,Auto,22232.24,Denied,Flood,VI,295,1,2026-05-25 10:28:28.321481
152,1713,Life,4252.45,Approved,Theft,CO,290,0,2026-05-25 10:28:28.321491
153,1572,Auto,4345.93,Denied,Accident,DC,282,0,2026-05-25 10:28:28.321501
154,4625,Life,14925.26,Denied,Fire,GA,110,1,2026-05-25 10:28:28.321517
155,2963,Auto,42764.14,Pending,Theft,ME,220,0,2026-05-25 10:28:28.321528
156,3934,Auto,40929.98,Denied,Fire,LA,128,0,2026-05-25 10:28:28.321537
157,4309,Home,44988.67,Denied,Fire,GA,180,0,2026-05-25 10:28:28.321547
158,4479,Life,2200.47,Pending,Fire,MN,239,1,2026-05-25 10:28:28.321556
159,2468,Auto,31802.93,Pending,Fire,SC,177,0,2026-05-25 10:28:28.321566
160,2719,Life,32484.44,Approved,Accident,OK,236,0,2026-05-25 10:28:28.321576
161,4563,Life,14306.93,Denied,Accident,MN,209,1,2026-05-25 10:28:28.321585
162,4710,Home,8945.62,Denied,Flood,WY,277,0,2026-05-25 10:28:28.321595
163,1697,Life,31845.22,Approved,Fire,CO,194,1,2026-05-25 10:28:28.321605
164,3699,Home,18025.9,Denied,Fire,CO,179,0,2026-05-25 10:28:28.321615
165,2134,Life,11742.04,Approved,Fire,DE,250,0,2026-05-25 10:28:28.321624
166,1134,Home,17264.51,Pending,Accident,NM,166,0,2026-05-25 10:28:28.321634
167,2652,Home,44748.56,Pending,Theft,NC,149,0,2026-05-25 10:28:28.321643
168,4603,Auto,48514.01,Pending,Accident,MS,113,1,2026-05-25 10:28:28.321653
169,1133,Auto,13049.42,Denied,Flood,AR,299,0,2026-05-25 10:28:28.321662
170,4857,Auto,38806.1,Approved,Theft,UT,253,0,2026-05-25 10:28:28.321672
171,2953,Life,41953.93,Pending,Fire,VI,194,0,2026-05-25 10:28:28.321683
172,1476,Life,22601.98,Approved,Theft,CA,114,0,2026-05-25 10:28:28.321692
173,1101,Home,22465.51,Approved,Accident,NE,169,0,2026-05-25 10:28:28.321706
174,2385,Home,44349.03,Approved,Accident,VI,181,0,2026-05-25 10:28:28.321716
175,1190,Auto,37562.86,Approved,Theft,GU,152,0,2026-05-25 10:28:28.321726
176,2254,Life,8216.85,Denied,Theft,KY,220,1,2026-05-25 10:28:28.321736
177,1109,Life,35056.03,Denied,Accident,OH,246,0,2026-05-25 10:28:28.321748
178,2923,Auto,38979.2,Approved,Flood,DE,184,0,2026-05-25 10:28:28.321758
179,3832,Home,33883.53,Pending,Accident,DC,197,1,2026-05-25 10:28:28.321768
180,2122,Home,36920.65,Pending,Flood,PW,204,1,2026-05-25 10:28:28.321777
181,2853,Auto,25877.01,Denied,Theft,IA,226,0,2026-05-25 10:28:28.321787
182,3194,Home,38645.46,Pending,Accident,PW,287,1,2026-05-25 10:28:28.321796
183,3667,Auto,4409.98,Denied,Flood,GA,250,0,2026-05-25 10:28:28.321806
184,1334,Home,34921.63,Pending,Accident,HI,273,1,2026-05-25 10:28:28.321815
185,3444,Home,30198.5,Pending,Fire,DC,133,0,2026-05-25 10:28:28.321825
186,2505,Life,33300.92,Denied,Accident,KY,274,0,2026-05-25 10:28:28.321835
187,3421,Home,26382.1,Pending,Flood,AS,227,0,2026-05-25 10:28:28.321845
188,4778,Life,9464.93,Pending,Theft,WY,264,0,2026-05-25 10:28:28.321855
189,1628,Auto,48001.97,Denied,Flood,ID,130,0,2026-05-25 10:28:28.321865
190,4897,Auto,23702.88,Denied,Theft,NH,134,1,2026-05-25 10:28:28.321875
191,4142,Auto,20603.0,Denied,Accident,DC,258,1,2026-05-25 10:28:28.321884
192,4375,Life,7896.98,Denied,Flood,VT,119,0,2026-05-25 10:28:28.321894
193,1428,Auto,6536.65,Approved,Flood,WA,174,0,2026-05-25 10:28:28.321907
194,4454,Home,48374.15,Denied,Theft,GA,141,0,2026-05-25 10:28:28.321918
195,2381,Life,29346.64,Approved,Theft,CA,138,1,2026-05-25 10:28:28.321928
196,4681,Life,24090.86,Approved,Fire,AZ,133,0,2026-05-25 10:28:28.321937
197,1338,Auto,6825.2,Pending,Theft,PW,102,0,2026-05-25 10:28:28.321947
198,3769,Auto,42487.38,Pending,Accident,MD,234,1,2026-05-25 10:28:28.321957
199,4849,Home,28904.46,Pending,Accident,IN,189,1,2026-05-25 10:28:28.321967
200,1437,Home,26436.27,Denied,Accident,TN,139,0,2026-05-25 10:28:28.321976
201,1030,Auto,28615.3,Pending,Accident,LA,184,1,2026-05-25 10:28:28.321987
202,2601,Auto,22381.44,Denied,Accident,AK,164,0,2026-05-25 10:28:28.321997
203,1637,Life,27431.97,Denied,Accident,OK,158,1,2026-05-25 10:28:28.322007
204,4641,Home,14369.28,Approved,Theft,PW,278,1,2026-05-25 10:28:28.322016
205,4373,Life,20718.17,Pending,Theft,OR,273,0,2026-05-25 10:28:28.322029
206,1942,Home,20600.0,Approved,Theft,NC,251,0,2026-05-25 10:28:28.322039
207,4816,Life,10169.17,Approved,Accident,DE,112,0,2026-05-25 10:28:28.322049
208,4459,Auto,3063.61,Approved,Fire,FL,207,1,2026-05-25 10:28:28.322059
209,3590,Life,46602.35,Approved,Flood,MN,112,0,2026-05-25 10:28:28.322070
210,4131,Life,39247.13,Approved,Theft,NJ,208,1,2026-05-25 10:28:28.322079
211,4342,Auto,12720.59,Pending,Theft,ME,108,0,2026-05-25 10:28:28.322089
212,1293,Life,47873.89,Approved,Theft,NJ,162,1,2026-05-25 10:28:28.322102
213,2871,Auto,25802.56,Denied,Fire,OR,182,0,2026-05-25 10:28:28.322118
214,3361,Home,39089.31,Denied,Fire,FL,299,1,2026-05-25 10:28:28.322130
215,4624,Auto,31140.77,Denied,Fire,MD,107,0,2026-05-25 10:28:28.322143
216,2448,Life,14406.02,Denied,Flood,AS,119,0,2026-05-25 10:28:28.322155
217,2616,Home,17786.94,Denied,Theft,MD,142,0,2026-05-25 10:28:28.322167
218,4742,Home,36018.38,Pending,Fire,KS,170,0,2026-05-25 10:28:28.322178
219,2728,Auto,18944.05,Pending,Fire,NY,236,0,2026-05-25 10:28:28.322189
220,1246,Life,37877.39,Denied,Fire,PR,116,1,2026-05-25 10:28:28.322201
221,2623,Auto,5177.1,Approved,Fire,NJ,251,1,2026-05-25 10:28:28.322212
222,3316,Home,35430.04,Denied,Fire,CT,210,1,2026-05-25 10:28:28.322224
223,1451,Life,23743.42,Approved,Flood,TX,234,1,2026-05-25 10:28:28.322235
224,4935,Life,48392.29,Denied,Theft,MH,260,1,2026-05-25 10:28:28.322247
225,4348,Life,24684.57,Approved,Flood,WV,183,0,2026-05-25 10:28:28.322258
226,1482,Auto,24394.34,Denied,Accident,PR,108,0,2026-05-25 10:28:28.322270
227,4654,Home,25748.6,Pending,Accident,GA,299,0,2026-05-25 10:28:28.322281
228,3069,Auto,1177.44,Pending,Fire,DE,298,0,2026-05-25 10:28:28.322294
229,4376,Auto,36627.45,Approved,Flood,MH,122,1,2026-05-25 10:28:28.322305
230,3119,Auto,23529.27,Pending,Flood,VA,145,0,2026-05-25 10:28:28.322317
231,3400,Auto,17274.31,Approved,Flood,DE,117,0,2026-05-25 10:28:28.322328
232,4572,Auto,34592.27,Pending,Flood,TN,236,0,2026-05-25 10:28:28.322343
233,2812,Home,42302.02,Denied,Flood,TX,113,0,2026-05-25 10:28:28.322353
234,3106,Life,38280.27,Pending,Accident,NM,160,0,2026-05-25 10:28:28.322364
235,2331,Home,11978.6,Denied,Fire,WV,124,0,2026-05-25 10:28:28.322374
236,2526,Home,25921.45,Denied,Accident,GU,213,1,2026-05-25 10:28:28.322384
237,4667,Auto,36996.31,Denied,Accident,HI,103,0,2026-05-25 10:28:28.322394
238,4958,Home,34251.24,Denied,Fire,TN,129,0,2026-05-25 10:28:28.322403
239,1394,Home,22261.93,Denied,Accident,MN,299,0,2026-05-25 10:28:28.322413
240,2415,Auto,29051.88,Denied,Flood,FL,244,0,2026-05-25 10:28:28.322423
241,4259,Auto,32289.85,Pending,Flood,MI,104,0,2026-05-25 10:28:28.322432
242,3934,Life,45577.5,Approved,Accident,ND,159,0,2026-05-25 10:28:28.322442
243,4709,Auto,35766.29,Pending,Flood,MS,295,0,2026-05-25 10:28:28.322451
244,1398,Auto,11613.11,Approved,Fire,RI,112,1,2026-05-25 10:28:28.322461
245,2615,Life,47455.99,Pending,Fire,ID,101,1,2026-05-25 10:28:28.322471
246,4973,Home,11507.2,Pending,Accident,MN,248,0,2026-05-25 10:28:28.322481
247,1313,Home,15849.49,Approved,Accident,NV,236,0,2026-05-25 10:28:28.322491
248,1792,Home,21332.91,Approved,Flood,MP,170,1,2026-05-25 10:28:28.322502
249,1158,Life,9870.53,Denied,Fire,IN,169,0,2026-05-25 10:28:28.322512
250,3655,Home,9080.25,Approved,Flood,SD,156,0,2026-05-25 10:28:28.322521
251,3472,Auto,46091.37,Denied,Fire,VI,214,0,2026-05-25 10:28:28.322534
252,1025,Life,5663.21,Approved,Accident,MP,299,0,2026-05-25 10:28:28.322544
253,4202,Life,44423.14,Pending,Accident,MA,300,1,2026-05-25 10:28:28.322555
254,4790,Life,37663.64,Denied,Theft,OK,153,1,2026-05-25 10:28:28.322564
255,2095,Life,14619.83,Approved,Theft,GU,233,0,2026-05-25 10:28:28.322574
256,2074,Life,5934.8,Pending,Flood,UT,198,1,2026-05-25 10:28:28.322584
257,3992,Life,12522.95,Approved,Fire,TX,225,0,2026-05-25 10:28:28.322594
258,3375,Auto,44194.6,Pending,Fire,ME,136,0,2026-05-25 10:28:28.322604
259,3680,Home,22589.98,Approved,Theft,PA,198,0,2026-05-25 10:28:28.322615
260,4158,Auto,11781.15,Denied,Theft,NE,264,1,2026-05-25 10:28:28.322625
261,4282,Life,34576.24,Denied,Accident,AZ,263,0,2026-05-25 10:28:28.322634
262,1888,Life,31369.09,Pending,Theft,MO,151,0,2026-05-25 10:28:28.322648
263,4759,Home,25905.51,Denied,Fire,OK,128,0,2026-05-25 10:28:28.322658
264,2118,Life,23831.47,Approved,Flood,CO,284,0,2026-05-25 10:28:28.322668
265,4905,Auto,36550.76,Denied,Flood,MT,153,0,2026-05-25 10:28:28.322678
266,4617,Home,16325.35,Denied,Accident,KS,212,1,2026-05-25 10:28:28.322691
267,4154,Auto,35747.75,Denied,Fire,HI,128,0,2026-05-25 10:28:28.322702
268,3613,Home,34078.57,Pending,Flood,KY,178,0,2026-05-25 10:28:28.322712
269,2260,Life,42025.0,Denied,Flood,ND,188,0,2026-05-25 10:28:28.322725
270,2846,Life,7359.4,Pending,Flood,MA,242,1,2026-05-25 10:28:28.322736
271,2154,Auto,4129.71,Pending,Flood,MT,268,0,2026-05-25 10:28:28.322749
272,3285,Auto,7680.72,Denied,Theft,MT,144,1,2026-05-25 10:28:28.322760
273,3794,Life,42041.12,Denied,Accident,TX,186,0,2026-05-25 10:28:28.322769
274,2782,Auto,17352.4,Pending,Flood,LA,263,0,2026-05-25 10:28:28.322779
275,3679,Auto,48227.6,Denied,Fire,OH,143,1,2026-05-25 10:28:28.322789
276,3409,Life,49123.93,Denied,Accident,VT,186,0,2026-05-25 10:28:28.322799
277,3701,Home,28746.73,Approved,Theft,DC,240,0,2026-05-25 10:28:28.322809
278,4139,Life,35745.88,Approved,Theft,SC,184,0,2026-05-25 10:28:28.322819
279,1331,Life,30488.21,Denied,Theft,ME,232,0,2026-05-25 10:28:28.322830
280,2660,Auto,20779.73,Denied,Theft,CA,228,0,2026-05-25 10:28:28.322840
281,1248,Life,47034.82,Approved,Flood,MS,282,0,2026-05-25 10:28:28.322850
282,2419,Home,38998.54,Pending,Accident,IL,105,0,2026-05-25 10:28:28.322859
283,1897,Auto,15248.18,Pending,Fire,TN,124,1,2026-05-25 10:28:28.322869
284,3194,Life,47996.33,Denied,Accident,VA,115,0,2026-05-25 10:28:28.322879
285,4820,Home,27446.55,Denied,Theft,ID,164,0,2026-05-25 10:28:28.322890
286,4344,Auto,25170.57,Denied,Fire,SC,139,0,2026-05-25 10:28:28.322900
287,2201,Life,24359.13,Denied,Theft,HI,300,0,2026-05-25 10:28:28.322909
288,1606,Life,29704.24,Pending,Accident,MH,102,0,2026-05-25 10:28:28.322919
289,3527,Life,40260.46,Approved,Flood,AS,232,0,2026-05-25 10:28:28.322929
290,2269,Life,3047.74,Approved,Fire,IL,233,0,2026-05-25 10:28:28.322942
291,4425,Life,2689.68,Denied,Fire,MN,184,0,2026-05-25 10:28:28.322952
292,3262,Home,19205.73,Approved,Accident,KS,138,0,2026-05-25 10:28:28.322962
293,1490,Auto,47721.59,Denied,Accident,DE,109,0,2026-05-25 10:28:28.322971
294,2584,Life,4804.52,Approved,Fire,ME,164,1,2026-05-25 10:28:28.322981
295,4229,Home,36537.66,Pending,Accident,KS,181,0,2026-05-25 10:28:28.322991
296,2556,Auto,44095.4,Pending,Fire,DE,202,0,2026-05-25 10:28:28.323001
297,4655,Auto,38544.11,Denied,Fire,WV,164,0,2026-05-25 10:28:28.323010
298,4688,Auto,40123.58,Approved,Theft,OR,124,0,2026-05-25 10:28:28.323020
299,3840,Home,40052.9,Denied,Accident,VI,118,0,2026-05-25 10:28:28.323030
300,2850,Home,5820.08,Approved,Flood,MD,180,0,2026-05-25 10:28:28.323039
301,4713,Home,34299.23,Approved,Fire,VA,153,0,2026-05-25 10:28:28.323049
302,4649,Home,49366.3,Pending,Theft,IN,198,0,2026-05-25 10:28:28.323059
303,1238,Auto,1191.21,Approved,Accident,SC,253,0,2026-05-25 10:28:28.323069
304,3641,Home,6550.12,Pending,Fire,MD,266,1,2026-05-25 10:28:28.323078
305,3045,Life,47810.57,Approved,Accident,TX,121,0,2026-05-25 10:28:28.323088
306,4413,Life,48586.95,Approved,Fire,NJ,178,1,2026-05-25 10:28:28.323097
307,3589,Home,4507.85,Pending,Flood,HI,257,0,2026-05-25 10:28:28.323110
308,4219,Auto,32681.02,Denied,Flood,IA,114,0,2026-05-25 10:28:28.323121
309,3904,Home,26776.6,Denied,Accident,NY,201,0,2026-05-25 10:28:28.323131
310,4423,Life,48099.24,Approved,Accident,OR,228,0,2026-05-25 10:28:28.323145
311,4608,Home,1838.13,Approved,Flood,MT,221,0,2026-05-25 10:28:28.323155
312,4805,Life,23395.73,Pending,Fire,NC,269,0,2026-05-25 10:28:28.323165
313,3286,Life,44918.94,Pending,Fire,NM,298,1,2026-05-25 10:28:28.323175
