adjuster_id,total_claims,total_claim_amount,suspicious_claims,pending_claims,workload_level
153,5,152328.04,2,0,Medium
109,5,129551.16,3,1,Medium
161,5,199060.36,3,3,Medium
151,5,175315.96,4,2,Medium
129,5,112265.33,2,3,Medium
115,5,202964.31,2,0,Medium
192,5,185220.43,3,3,Medium
175,5,174814.23,2,2,Medium
191,5,115416.55000000002,1,1,Medium
204,5,112733.92,2,2,Medium
180,5,142219.01,3,1,Medium
298,4,89102.34,1,2,Low
296,4,69306.79,1,0,Low
281,4,99910.72,1,2,Low
252,4,96184.42,1,1,Low
206,4,101987.20000000001,1,1,Low
294,4,106093.86000000002,2,1,Low
283,4,54634.32,1,4,Low
280,4,139815.72,2,0,Low
290,4,93979.0,2,0,Low
274,4,106680.11,0,2,Low
137,4,107344.98000000001,1,1,Low
135,4,81423.75,1,1,Low
140,4,77190.42,1,2,Low
162,4,137136.84,3,1,Low
144,4,34545.67,3,1,Low
121,4,113254.42,1,0,Low
125,4,134423.19,1,1,Low
127,4,107824.24,2,2,Low
141,4,144873.14,1,1,Low
148,4,127993.53,3,1,Low
167,4,98325.48999999999,1,1,Low
292,4,116300.38,1,1,Low
255,4,98736.53,0,2,Low
268,4,69341.09,2,2,Low
243,4,140871.56,2,2,Low
212,4,51414.18,2,1,Low
203,4,115897.69,3,3,Low
218,4,95922.78,2,3,Low
231,4,98059.67000000001,0,2,Low
235,4,89576.68000000001,2,1,Low
221,4,90437.04000000001,1,1,Low
182,4,78926.23999999999,0,1,Low
176,4,141213.02,3,2,Low
196,4,96427.87,2,0,Low
211,4,151151.9,3,1,Low
233,4,78040.7,0,0,Low
249,4,106321.27,1,2,Low
116,3,90621.48999999999,2,1,Low
111,3,109907.57,2,1,Low
145,3,73854.95000000001,1,1,Low
107,3,115350.47,3,1,Low
172,3,69447.65,1,2,Low
291,3,79394.39,0,1,Low
289,3,96842.85,2,1,Low
278,3,78271.51000000001,2,0,Low
266,3,46364.16,2,1,Low
260,3,109799.13,1,0,Low
261,3,129505.65,3,1,Low
155,3,104801.64,3,1,Low
152,3,68610.97,1,1,Low
154,3,94459.86,1,1,Low
123,3,46759.58,1,1,Low
142,3,74760.05,1,0,Low
178,3,84576.56999999999,1,1,Low
209,3,50258.43,1,0,Low
217,3,67246.12000000001,2,1,Low
210,3,79721.56,1,1,Low
179,3,92671.68,2,1,Low
288,3,72233.6,0,1,Low
297,3,50087.19,1,2,Low
277,3,79429.77,2,1,Low
271,3,126017.33,2,1,Low
242,3,25258.53,2,1,Low
244,3,95750.56000000001,0,1,Low
247,3,75688.87,2,0,Low
222,3,55351.22,1,0,Low
215,3,63526.15,2,2,Low
174,3,90109.79000000001,0,0,Low
238,3,77925.0,1,1,Low
240,3,71448.73999999999,0,1,Low
241,3,72945.8,1,0,Low
267,3,61640.31,0,2,Low
122,2,83720.22,1,0,Low
100,2,20292.61,0,0,Low
265,2,75493.68,1,0,Low
165,2,35731.75,2,1,Low
147,2,20766.49,0,0,Low
126,2,59702.22,0,2,Low
201,2,35828.72,0,0,Low
193,2,45178.369999999995,0,0,Low
205,2,66277.25,0,1,Low
207,2,7054.55,2,0,Low
270,2,60611.16,1,2,Low
259,2,87461.57,2,1,Low
230,2,75881.61,2,0,Low
245,2,18491.39,0,0,Low
150,1,40317.26,1,0,Low
197,1,33883.53,1,1,Low
183,1,24684.57,0,0,Low
272,1,15233.86,0,0,Low
