entity_id,score,watchlist_reason
761,43525.47,Suspicious Claim
494,43252.17,Suspicious Claim
695,43219.61,Suspicious Claim
33,42914.14,Suspicious Claim
155,42764.14,Suspicious Claim
993,42748.98,Suspicious Claim
860,42702.82,Suspicious Claim
581,42608.33,Suspicious Claim
400,42604.96,Suspicious Claim
608,42556.36,Suspicious Claim
198,42487.38,Suspicious Claim
554,42304.51,Suspicious Claim
990,42173.25,Suspicious Claim
584,42171.81,Suspicious Claim
788,42144.23,Suspicious Claim
171,41953.93,Suspicious Claim
689,41795.48,Suspicious Claim
589,41727.79,Suspicious Claim
991,41612.73,Suspicious Claim
638,41215.38,Suspicious Claim
797,41129.09,Suspicious Claim
96,41000.0,Suspicious Claim
156,40929.98,Suspicious Claim
819,40845.28,Suspicious Claim
890,40631.2,Suspicious Claim
889,40393.79,Suspicious Claim
724,40363.37,Suspicious Claim
760,40335.2,Suspicious Claim
465,40317.26,Suspicious Claim
955,40250.85,Suspicious Claim
973,40248.1,Suspicious Claim
739,40218.68,Suspicious Claim
298,40123.58,Suspicious Claim
684,40009.65,Suspicious Claim
27,40004.72,Suspicious Claim
473,39995.47,Suspicious Claim
28,39970.31,Suspicious Claim
631,39924.74,Suspicious Claim
883,39740.26,Suspicious Claim
93,39697.3,Suspicious Claim
600,39652.97,Suspicious Claim
150,39625.74,Suspicious Claim
26,39611.72,Suspicious Claim
460,39544.72,Suspicious Claim
576,39447.98,Suspicious Claim
960,39387.52,Suspicious Claim
784,39346.63,Suspicious Claim
909,39332.32,Suspicious Claim
688,39255.15,Suspicious Claim
23,39252.34,Suspicious Claim
210,39247.13,Suspicious Claim
214,39089.31,Suspicious Claim
558,38918.84,Suspicious Claim
941,38874.67,Suspicious Claim
170,38806.1,Suspicious Claim
118,38744.11,Suspicious Claim
507,38700.39,Suspicious Claim
182,38645.46,Suspicious Claim
721,38603.03,Suspicious Claim
899,38561.15,Suspicious Claim
663,38559.92,Suspicious Claim
498,38546.83,Suspicious Claim
297,38544.11,Suspicious Claim
450,38526.29,Suspicious Claim
945,38471.33,Suspicious Claim
590,38216.11,Suspicious Claim
429,37968.19,Suspicious Claim
220,37877.39,Suspicious Claim
376,37710.75,Suspicious Claim
466,37677.55,Suspicious Claim
254,37663.64,Suspicious Claim
361,37575.46,Suspicious Claim
175,37562.86,Suspicious Claim
982,37544.97,Suspicious Claim
491,37394.68,Suspicious Claim
710,37369.26,Suspicious Claim
425,37212.5,Suspicious Claim
802,37209.92,Suspicious Claim
43,37173.96,Suspicious Claim
369,37045.96,Suspicious Claim
180,36920.65,Suspicious Claim
337,36899.11,Suspicious Claim
985,36680.19,Suspicious Claim
229,36627.45,Suspicious Claim
52,36418.36,Suspicious Claim
948,36396.42,Suspicious Claim
815,36269.06,Suspicious Claim
420,36083.32,Suspicious Claim
218,36018.38,Suspicious Claim
833,35997.69,Suspicious Claim
743,35882.48,Suspicious Claim
458,35844.39,Suspicious Claim
482,35812.36,Suspicious Claim
267,35747.75,Suspicious Claim
278,35745.88,Suspicious Claim
934,35608.09,Suspicious Claim
222,35430.04,Suspicious Claim
904,35285.25,Suspicious Claim
790,35244.0,Suspicious Claim
571,35234.64,Suspicious Claim
20,35189.37,Suspicious Claim
919,35119.11,Suspicious Claim
84,35105.97,Suspicious Claim
63,35056.12,Suspicious Claim
184,34921.63,Suspicious Claim
774,34876.57,Suspicious Claim
961,34845.22,Suspicious Claim
391,34811.28,Suspicious Claim
742,34762.86,Suspicious Claim
997,34508.89,Suspicious Claim
868,34421.77,Suspicious Claim
942,34414.53,Suspicious Claim
53,34378.62,Suspicious Claim
430,34318.67,Suspicious Claim
301,34299.23,Suspicious Claim
741,34258.21,Suspicious Claim
238,34251.24,Suspicious Claim
22,34238.03,Suspicious Claim
928,34211.28,Suspicious Claim
546,34117.93,Suspicious Claim
686,34115.12,Suspicious Claim
441,34113.21,Suspicious Claim
332,34053.47,Suspicious Claim
179,33883.53,Suspicious Claim
92,33859.86,Suspicious Claim
639,33822.58,Suspicious Claim
396,33815.92,Suspicious Claim
981,33767.4,Suspicious Claim
984,33739.51,Suspicious Claim
79,33596.4,Suspicious Claim
777,33363.56,Suspicious Claim
359,33354.24,Suspicious Claim
729,33257.54,Suspicious Claim
120,32897.35,Suspicious Claim
541,32809.41,Suspicious Claim
574,32792.72,Suspicious Claim
565,32773.65,Suspicious Claim
453,32703.25,Suspicious Claim
732,32542.75,Suspicious Claim
855,32522.06,Suspicious Claim
514,32460.46,Suspicious Claim
500,32378.39,Suspicious Claim
645,32367.39,Suspicious Claim
123,32176.27,Suspicious Claim
906,32046.33,Suspicious Claim
719,31958.65,Suspicious Claim
163,31845.22,Suspicious Claim
452,31842.64,Suspicious Claim
159,31802.93,Suspicious Claim
402,31770.3,Suspicious Claim
362,31697.03,Suspicious Claim
939,31628.57,Suspicious Claim
419,31554.99,Suspicious Claim
923,31502.96,Suspicious Claim
857,31476.23,Suspicious Claim
563,31451.8,Suspicious Claim
262,31369.09,Suspicious Claim
814,31346.64,Suspicious Claim
720,31239.91,Suspicious Claim
486,31183.05,Suspicious Claim
215,31140.77,Suspicious Claim
640,31137.52,Suspicious Claim
131,31066.77,Suspicious Claim
317,31049.88,Suspicious Claim
73,30939.97,Suspicious Claim
56,30931.89,Suspicious Claim
648,30835.4,Suspicious Claim
435,30763.09,Suspicious Claim
609,30529.8,Suspicious Claim
279,30488.21,Suspicious Claim
751,30478.49,Suspicious Claim
838,30429.26,Suspicious Claim
375,30320.87,Suspicious Claim
757,30200.13,Suspicious Claim
185,30198.5,Suspicious Claim
137,30090.88,Suspicious Claim
619,30003.28,Suspicious Claim
141,29870.57,Suspicious Claim
340,29502.31,Suspicious Claim
573,29469.45,Suspicious Claim
370,29414.55,Suspicious Claim
464,29399.92,Suspicious Claim
195,29346.64,Suspicious Claim
134,29292.93,Suspicious Claim
964,29174.1,Suspicious Claim
842,29172.39,Suspicious Claim
517,29111.48,Suspicious Claim
199,28904.46,Suspicious Claim
383,28802.22,Suspicious Claim
865,28668.71,Suspicious Claim
201,28615.3,Suspicious Claim
368,28023.39,Suspicious Claim
680,27934.84,Suspicious Claim
921,27895.4,Suspicious Claim
470,27849.73,Suspicious Claim
352,27701.49,Suspicious Claim
323,27691.69,Suspicious Claim
203,27431.97,Suspicious Claim
588,27415.76,Suspicious Claim
80,26416.14,Suspicious Claim
236,25921.45,Suspicious Claim
61,25706.98,Suspicious Claim
745,25596.98,Suspicious Claim
510,25573.49,Suspicious Claim
98,25377.34,Suspicious Claim
810,25333.58,Suspicious Claim
818,24858.29,Suspicious Claim
354,24473.78,Suspicious Claim
88,24195.43,Suspicious Claim
371,23863.99,Suspicious Claim
223,23743.42,Suspicious Claim
440,23736.54,Suspicious Claim
190,23702.88,Suspicious Claim
372,23669.53,Suspicious Claim
931,23533.01,Suspicious Claim
481,23335.3,Suspicious Claim
403,22923.76,Suspicious Claim
655,22832.8,Suspicious Claim
837,22807.33,Suspicious Claim
518,22324.24,Suspicious Claim
151,22232.24,Suspicious Claim
959,22230.83,Suspicious Claim
478,22075.14,Suspicious Claim
806,21709.04,Suspicious Claim
716,21356.53,Suspicious Claim
248,21332.91,Suspicious Claim
191,20603.0,Suspicious Claim
348,20554.81,Suspicious Claim
621,20373.32,Suspicious Claim
451,20348.26,Suspicious Claim
47,20198.74,Suspicious Claim
866,19698.14,Suspicious Claim
552,19650.56,Suspicious Claim
703,19598.95,Suspicious Claim
561,19368.64,Suspicious Claim
537,19330.42,Suspicious Claim
736,19188.49,Suspicious Claim
785,18953.08,Suspicious Claim
17,18812.23,Suspicious Claim
16,18547.06,Suspicious Claim
603,18519.92,Suspicious Claim
444,18509.15,Suspicious Claim
908,17695.99,Suspicious Claim
586,17216.14,Suspicious Claim
731,17096.21,Suspicious Claim
550,16811.76,Suspicious Claim
596,16740.2,Suspicious Claim
881,16641.73,Suspicious Claim
266,16325.35,Suspicious Claim
138,16243.02,Suspicious Claim
828,15975.59,Suspicious Claim
995,15876.52,Suspicious Claim
30,15862.56,Suspicious Claim
676,15633.42,Suspicious Claim
794,15392.31,Suspicious Claim
57,15342.33,Suspicious Claim
700,15254.69,Suspicious Claim
283,15248.18,Suspicious Claim
737,14985.43,Suspicious Claim
154,14925.26,Suspicious Claim
431,14876.1,Suspicious Claim
204,14369.28,Suspicious Claim
161,14306.93,Suspicious Claim
477,14050.03,Suspicious Claim
846,13744.17,Suspicious Claim
615,13493.9,Suspicious Claim
885,13357.51,Suspicious Claim
336,12912.02,Suspicious Claim
411,12703.78,Suspicious Claim
755,12472.34,Suspicious Claim
485,12293.13,Suspicious Claim
826,11869.38,Suspicious Claim
260,11781.15,Suspicious Claim
244,11613.11,Suspicious Claim
675,11098.25,Suspicious Claim
705,10969.24,Suspicious Claim
327,10936.57,Suspicious Claim
536,10187.59,Suspicious Claim
424,10140.49,Suspicious Claim
119,10043.21,Suspicious Claim
740,9514.06,Suspicious Claim
493,9330.24,Suspicious Claim
393,9327.28,Suspicious Claim
769,8898.16,Suspicious Claim
780,8866.05,Suspicious Claim
830,8763.4,Suspicious Claim
404,8577.24,Suspicious Claim
768,8532.27,Suspicious Claim
442,8239.88,Suspicious Claim
712,8235.76,Suspicious Claim
176,8216.85,Suspicious Claim
661,8196.04,Suspicious Claim
356,8112.74,Suspicious Claim
13,8092.25,Suspicious Claim
272,7680.72,Suspicious Claim
319,7620.7,Suspicious Claim
270,7359.4,Suspicious Claim
701,7358.25,Suspicious Claim
927,7346.32,Suspicious Claim
355,7168.29,Suspicious Claim
99,6977.76,Suspicious Claim
572,6866.61,Suspicious Claim
304,6550.12,Suspicious Claim
374,6503.8,Suspicious Claim
19,6479.21,Suspicious Claim
105,6306.34,Suspicious Claim
538,6119.25,Suspicious Claim
256,5934.8,Suspicious Claim
634,5782.43,Suspicious Claim
221,5177.1,Suspicious Claim
858,5097.77,Suspicious Claim
657,5035.39,Suspicious Claim
408,4818.92,Suspicious Claim
294,4804.52,Suspicious Claim
551,4473.93,Suspicious Claim
148,4411.54,Suspicious Claim
314,4407.6,Suspicious Claim
658,4058.38,Suspicious Claim
585,3990.94,Suspicious Claim
543,3278.29,Suspicious Claim
471,3194.33,Suspicious Claim
999,3119.11,Suspicious Claim
208,3063.61,Suspicious Claim
821,2939.03,Suspicious Claim
547,2839.71,Suspicious Claim
667,2707.81,Suspicious Claim
515,2570.07,Suspicious Claim
513,2430.02,Suspicious Claim
583,2282.66,Suspicious Claim
158,2200.47,Suspicious Claim
994,2125.95,Suspicious Claim
428,1869.74,Suspicious Claim
505,1791.86,Suspicious Claim
567,1517.38,Suspicious Claim
4418,180.257001,High Policy Risk
3324,158.873742,High Policy Risk
1293,158.395721,High Policy Risk
3472,158.236043,High Policy Risk
3978,157.879637,High Policy Risk
2102,157.848098,High Policy Risk
3553,157.504093,High Policy Risk
1102,157.374732,High Policy Risk
1331,157.370782,High Policy Risk
4653,156.913261,High Policy Risk
4994,156.879563,High Policy Risk
3702,132.603203,High Policy Risk
1202,132.158285,High Policy Risk
3286,131.99762,High Policy Risk
3124,131.901164,High Policy Risk
4407,130.356667,High Policy Risk
2245,130.288666,High Policy Risk
2920,130.04543,High Policy Risk
1144,130.029426,High Policy Risk
3464,128.50494,High Policy Risk
3794,110.53934,High Policy Risk
1019,109.489439,High Policy Risk
3194,108.664179,High Policy Risk
2394,108.653083,High Policy Risk
3934,108.650748,High Policy Risk
4026,108.345049,High Policy Risk
4731,108.237139,High Policy Risk
3987,108.16413,High Policy Risk
2419,108.130305,High Policy Risk
2673,108.107109,High Policy Risk
2409,107.853478,High Policy Risk
2838,107.397662,High Policy Risk
2923,106.945769,High Policy Risk
4392,106.698054,High Policy Risk
4829,106.630063,High Policy Risk
2858,104.357801,High Policy Risk
3862,104.207443,High Policy Risk
3724,103.844781,High Policy Risk
2060,101.757746,High Policy Risk
