claim_id,customer_id,policy_type,claim_amount,claim_status,incident_type,state,adjuster_id,fraud_flag,claim_date,high_value_claim,high_risk_incident,suspicious_claim,claim_severity
69,3304,Auto,48101.86,Approved,Theft,AZ,280,0,2026-05-25 10:28:28.320637,True,True,True,Critical
70,3723,Life,9052.12,Approved,Accident,GU,201,0,2026-05-25 10:28:28.320646,False,False,False,Medium
71,4940,Life,16049.79,Approved,Fire,HI,280,0,2026-05-25 10:28:28.320656,False,True,False,Medium
72,1922,Auto,26270.69,Pending,Accident,RI,254,0,2026-05-25 10:28:28.320666,False,False,False,High
73,1376,Life,30939.97,Pending,Theft,UT,199,1,2026-05-25 10:28:28.320676,True,True,True,High
74,4031,Auto,21824.94,Approved,Flood,TX,236,0,2026-05-25 10:28:28.320686,False,False,False,High
75,2101,Auto,4236.47,Denied,Theft,IA,191,0,2026-05-25 10:28:28.320696,False,True,False,Medium
76,3773,Auto,25201.7,Denied,Flood,MP,234,0,2026-05-25 10:28:28.320709,False,False,False,High
77,2559,Auto,4192.21,Denied,Accident,VT,214,0,2026-05-25 10:28:28.320719,False,False,False,Medium
78,1358,Life,10377.87,Denied,Theft,GA,112,0,2026-05-25 10:28:28.320731,False,True,False,Medium
79,4752,Home,33596.4,Pending,Theft,GU,138,1,2026-05-25 10:28:28.320744,True,True,True,High
80,4521,Home,26416.14,Pending,Accident,WV,215,1,2026-05-25 10:28:28.320754,False,False,True,High
81,2703,Auto,26724.45,Approved,Flood,NH,250,0,2026-05-25 10:28:28.320764,False,False,False,High
82,4537,Life,8467.26,Approved,Accident,MO,190,0,2026-05-25 10:28:28.320773,False,False,False,Medium
83,3591,Home,48501.3,Approved,Flood,ME,134,0,2026-05-25 10:28:28.320783,True,False,False,Critical
84,4337,Auto,35105.97,Denied,Fire,MO,222,0,2026-05-25 10:28:28.320793,True,True,True,High
85,2769,Life,19427.45,Pending,Accident,AR,190,0,2026-05-25 10:28:28.320803,False,False,False,Medium
86,2440,Life,21461.76,Denied,Fire,AS,173,0,2026-05-25 10:28:28.320813,False,True,False,High
87,3366,Life,13103.29,Approved,Flood,NE,182,0,2026-05-25 10:28:28.320823,False,False,False,Medium
88,1396,Home,24195.43,Pending,Flood,CT,216,1,2026-05-25 10:28:28.320833,False,False,True,High
89,4656,Life,37513.26,Denied,Flood,OH,200,0,2026-05-25 10:28:28.320842,True,False,False,High
90,2708,Life,47540.74,Denied,Accident,MI,247,1,2026-05-25 10:28:28.320852,True,False,True,Critical
91,3428,Auto,31893.12,Denied,Flood,LA,137,0,2026-05-25 10:28:28.320862,True,False,False,High
92,3560,Life,33859.86,Pending,Fire,NC,170,0,2026-05-25 10:28:28.320875,True,True,True,High
93,2493,Auto,39697.3,Pending,Accident,GA,206,1,2026-05-25 10:28:28.320886,True,False,True,High
94,4832,Auto,9826.74,Denied,Accident,WV,118,0,2026-05-25 10:28:28.320896,False,False,False,Medium
95,4284,Life,49925.52,Approved,Accident,OR,213,0,2026-05-25 10:28:28.320909,True,False,False,Critical
96,2345,Auto,41000.0,Denied,Flood,OH,224,1,2026-05-25 10:28:28.320919,True,False,True,Critical
97,4578,Home,49065.54,Pending,Fire,WI,161,1,2026-05-25 10:28:28.320930,True,True,True,Critical
98,1785,Home,25377.34,Pending,Accident,AL,185,1,2026-05-25 10:28:28.320942,False,False,True,High
99,2215,Home,6977.76,Pending,Accident,SD,195,1,2026-05-25 10:28:28.320953,False,False,True,Medium
100,1520,Life,43548.98,Denied,Accident,MN,221,0,2026-05-25 10:28:28.320963,True,False,False,Critical
101,4026,Auto,46055.81,Pending,Accident,WI,274,0,2026-05-25 10:28:28.320973,True,False,False,Critical
102,4589,Life,48043.1,Denied,Theft,OR,101,0,2026-05-25 10:28:28.320983,True,True,True,Critical
103,2819,Life,46331.91,Approved,Theft,NV,219,1,2026-05-25 10:28:28.320993,True,True,True,Critical
104,4343,Life,17071.24,Approved,Fire,NM,285,0,2026-05-25 10:28:28.321002,False,True,False,Medium
105,1206,Auto,6306.34,Pending,Fire,FM,170,1,2026-05-25 10:28:28.321012,False,True,True,Medium
106,2655,Life,3503.67,Denied,Flood,SC,163,0,2026-05-25 10:28:28.321023,False,False,False,Medium
107,3695,Life,2768.21,Denied,Theft,WI,264,0,2026-05-25 10:28:28.321032,False,True,False,Medium
108,2245,Life,45086.05,Denied,Fire,OH,148,0,2026-05-25 10:28:28.321042,True,True,True,Critical
109,1408,Life,24502.86,Denied,Accident,KS,199,0,2026-05-25 10:28:28.321052,False,False,False,High
110,2008,Home,30997.17,Approved,Accident,NV,246,0,2026-05-25 10:28:28.321065,True,False,False,High
111,1600,Auto,7898.51,Denied,Accident,CT,177,0,2026-05-25 10:28:28.321075,False,False,False,Medium
112,4424,Home,16078.82,Approved,Fire,MT,232,0,2026-05-25 10:28:28.321085,False,True,False,Medium
113,3288,Auto,20184.23,Denied,Theft,MA,205,0,2026-05-25 10:28:28.321096,False,True,False,High
114,2339,Life,8579.18,Approved,Flood,MH,132,0,2026-05-25 10:28:28.321106,False,False,False,Medium
115,4001,Home,47114.45,Denied,Flood,AR,257,0,2026-05-25 10:28:28.321119,True,False,False,Critical
116,3389,Auto,28917.29,Approved,Flood,NJ,253,0,2026-05-25 10:28:28.321129,False,False,False,High
117,1884,Life,24350.89,Approved,Theft,PW,260,0,2026-05-25 10:28:28.321138,False,True,False,High
118,3722,Home,38744.11,Approved,Accident,FL,158,1,2026-05-25 10:28:28.321148,True,False,True,High
119,2096,Auto,10043.21,Approved,Flood,PA,281,1,2026-05-25 10:28:28.321158,False,False,True,Medium
120,2409,Auto,32897.35,Pending,Fire,GA,175,0,2026-05-25 10:28:28.321169,True,True,True,High
121,3389,Auto,46732.7,Denied,Theft,AK,214,1,2026-05-25 10:28:28.321180,True,True,True,Critical
122,1943,Auto,38468.51,Denied,Accident,RI,117,0,2026-05-25 10:28:28.321189,True,False,False,High
123,1606,Life,32176.27,Pending,Theft,WA,176,0,2026-05-25 10:28:28.321199,True,True,True,High
124,4070,Home,21502.27,Pending,Accident,VT,235,0,2026-05-25 10:28:28.321209,False,False,False,High
125,1423,Auto,6845.79,Pending,Theft,TN,228,0,2026-05-25 10:28:28.321219,False,True,False,Medium
126,1000,Life,12773.87,Approved,Flood,IA,226,0,2026-05-25 10:28:28.321229,False,False,False,Medium
127,3939,Auto,25553.96,Denied,Fire,WA,106,0,2026-05-25 10:28:28.321239,False,True,False,High
128,2385,Life,38644.38,Approved,Flood,PW,106,0,2026-05-25 10:28:28.321249,True,False,False,High
129,2663,Auto,38752.47,Pending,Flood,SC,102,0,2026-05-25 10:28:28.321258,True,False,False,High
130,1842,Life,8003.97,Approved,Accident,PW,221,0,2026-05-25 10:28:28.321270,False,False,False,Medium
131,1479,Life,31066.77,Denied,Fire,NC,235,0,2026-05-25 10:28:28.321280,True,True,True,High
132,3270,Life,28230.38,Approved,Flood,ID,243,0,2026-05-25 10:28:28.321290,False,False,False,High
133,3929,Auto,20188.78,Pending,Accident,WI,251,0,2026-05-25 10:28:28.321300,False,False,False,High
134,4667,Home,29292.93,Denied,Accident,IL,130,1,2026-05-25 10:28:28.321313,False,False,True,High
135,1535,Life,4250.84,Pending,Fire,TX,228,0,2026-05-25 10:28:28.321323,False,True,False,Medium
136,1823,Auto,40058.74,Approved,Accident,MS,156,0,2026-05-25 10:28:28.321333,True,False,False,Critical
137,3553,Home,30090.88,Approved,Accident,ND,241,1,2026-05-25 10:28:28.321342,True,False,True,High
138,2920,Auto,16243.02,Denied,Flood,VT,220,1,2026-05-25 10:28:28.321352,False,False,True,Medium
139,3428,Home,13532.71,Pending,Accident,AZ,292,0,2026-05-25 10:28:28.321361,False,False,False,Medium
140,2896,Life,39972.04,Denied,Flood,DE,292,0,2026-05-25 10:28:28.321371,True,False,False,High
141,3724,Life,29870.57,Denied,Accident,ND,268,1,2026-05-25 10:28:28.321384,False,False,True,High
142,1249,Home,8645.0,Denied,Flood,ID,248,0,2026-05-25 10:28:28.321394,False,False,False,Medium
143,2409,Home,45637.43,Denied,Accident,MH,284,0,2026-05-25 10:28:28.321404,True,False,False,Critical
144,2245,Home,4522.32,Pending,Flood,VT,158,0,2026-05-25 10:28:28.321414,False,False,False,Medium
145,1802,Auto,34470.21,Approved,Accident,PA,121,0,2026-05-25 10:28:28.321423,True,False,False,High
146,3392,Auto,4226.73,Pending,Accident,KS,269,0,2026-05-25 10:28:28.321433,False,False,False,Medium
147,2664,Home,17143.75,Approved,Theft,WV,237,0,2026-05-25 10:28:28.321442,False,True,False,Medium
148,2874,Life,4411.54,Pending,Theft,OH,157,1,2026-05-25 10:28:28.321452,False,True,True,Medium
149,2760,Auto,17571.12,Denied,Flood,MI,102,0,2026-05-25 10:28:28.321462,False,False,False,Medium
150,3207,Home,39625.74,Denied,Fire,CA,104,1,2026-05-25 10:28:28.321472,True,True,True,High
151,2639,Auto,22232.24,Denied,Flood,VI,295,1,2026-05-25 10:28:28.321481,False,False,True,High
152,1713,Life,4252.45,Approved,Theft,CO,290,0,2026-05-25 10:28:28.321491,False,True,False,Medium
153,1572,Auto,4345.93,Denied,Accident,DC,282,0,2026-05-25 10:28:28.321501,False,False,False,Medium
154,4625,Life,14925.26,Denied,Fire,GA,110,1,2026-05-25 10:28:28.321517,False,True,True,Medium
155,2963,Auto,42764.14,Pending,Theft,ME,220,0,2026-05-25 10:28:28.321528,True,True,True,Critical
156,3934,Auto,40929.98,Denied,Fire,LA,128,0,2026-05-25 10:28:28.321537,True,True,True,Critical
157,4309,Home,44988.67,Denied,Fire,GA,180,0,2026-05-25 10:28:28.321547,True,True,True,Critical
158,4479,Life,2200.47,Pending,Fire,MN,239,1,2026-05-25 10:28:28.321556,False,True,True,Medium
159,2468,Auto,31802.93,Pending,Fire,SC,177,0,2026-05-25 10:28:28.321566,True,True,True,High
160,2719,Life,32484.44,Approved,Accident,OK,236,0,2026-05-25 10:28:28.321576,True,False,False,High
161,4563,Life,14306.93,Denied,Accident,MN,209,1,2026-05-25 10:28:28.321585,False,False,True,Medium
162,4710,Home,8945.62,Denied,Flood,WY,277,0,2026-05-25 10:28:28.321595,False,False,False,Medium
163,1697,Life,31845.22,Approved,Fire,CO,194,1,2026-05-25 10:28:28.321605,True,True,True,High
164,3699,Home,18025.9,Denied,Fire,CO,179,0,2026-05-25 10:28:28.321615,False,True,False,Medium
165,2134,Life,11742.04,Approved,Fire,DE,250,0,2026-05-25 10:28:28.321624,False,True,False,Medium
166,1134,Home,17264.51,Pending,Accident,NM,166,0,2026-05-25 10:28:28.321634,False,False,False,Medium
167,2652,Home,44748.56,Pending,Theft,NC,149,0,2026-05-25 10:28:28.321643,True,True,True,Critical
168,4603,Auto,48514.01,Pending,Accident,MS,113,1,2026-05-25 10:28:28.321653,True,False,True,Critical
169,1133,Auto,13049.42,Denied,Flood,AR,299,0,2026-05-25 10:28:28.321662,False,False,False,Medium
170,4857,Auto,38806.1,Approved,Theft,UT,253,0,2026-05-25 10:28:28.321672,True,True,True,High
171,2953,Life,41953.93,Pending,Fire,VI,194,0,2026-05-25 10:28:28.321683,True,True,True,Critical
172,1476,Life,22601.98,Approved,Theft,CA,114,0,2026-05-25 10:28:28.321692,False,True,False,High
173,1101,Home,22465.51,Approved,Accident,NE,169,0,2026-05-25 10:28:28.321706,False,False,False,High
174,2385,Home,44349.03,Approved,Accident,VI,181,0,2026-05-25 10:28:28.321716,True,False,False,Critical
175,1190,Auto,37562.86,Approved,Theft,GU,152,0,2026-05-25 10:28:28.321726,True,True,True,High
176,2254,Life,8216.85,Denied,Theft,KY,220,1,2026-05-25 10:28:28.321736,False,True,True,Medium
177,1109,Life,35056.03,Denied,Accident,OH,246,0,2026-05-25 10:28:28.321748,True,False,False,High
178,2923,Auto,38979.2,Approved,Flood,DE,184,0,2026-05-25 10:28:28.321758,True,False,False,High
179,3832,Home,33883.53,Pending,Accident,DC,197,1,2026-05-25 10:28:28.321768,True,False,True,High
180,2122,Home,36920.65,Pending,Flood,PW,204,1,2026-05-25 10:28:28.321777,True,False,True,High
181,2853,Auto,25877.01,Denied,Theft,IA,226,0,2026-05-25 10:28:28.321787,False,True,False,High
182,3194,Home,38645.46,Pending,Accident,PW,287,1,2026-05-25 10:28:28.321796,True,False,True,High
183,3667,Auto,4409.98,Denied,Flood,GA,250,0,2026-05-25 10:28:28.321806,False,False,False,Medium
184,1334,Home,34921.63,Pending,Accident,HI,273,1,2026-05-25 10:28:28.321815,True,False,True,High
185,3444,Home,30198.5,Pending,Fire,DC,133,0,2026-05-25 10:28:28.321825,True,True,True,High
186,2505,Life,33300.92,Denied,Accident,KY,274,0,2026-05-25 10:28:28.321835,True,False,False,High
187,3421,Home,26382.1,Pending,Flood,AS,227,0,2026-05-25 10:28:28.321845,False,False,False,High
188,4778,Life,9464.93,Pending,Theft,WY,264,0,2026-05-25 10:28:28.321855,False,True,False,Medium
189,1628,Auto,48001.97,Denied,Flood,ID,130,0,2026-05-25 10:28:28.321865,True,False,False,Critical
190,4897,Auto,23702.88,Denied,Theft,NH,134,1,2026-05-25 10:28:28.321875,False,True,True,High
191,4142,Auto,20603.0,Denied,Accident,DC,258,1,2026-05-25 10:28:28.321884,False,False,True,High
192,4375,Life,7896.98,Denied,Flood,VT,119,0,2026-05-25 10:28:28.321894,False,False,False,Medium
193,1428,Auto,6536.65,Approved,Flood,WA,174,0,2026-05-25 10:28:28.321907,False,False,False,Medium
194,4454,Home,48374.15,Denied,Theft,GA,141,0,2026-05-25 10:28:28.321918,True,True,True,Critical
195,2381,Life,29346.64,Approved,Theft,CA,138,1,2026-05-25 10:28:28.321928,False,True,True,High
196,4681,Life,24090.86,Approved,Fire,AZ,133,0,2026-05-25 10:28:28.321937,False,True,False,High
197,1338,Auto,6825.2,Pending,Theft,PW,102,0,2026-05-25 10:28:28.321947,False,True,False,Medium
198,3769,Auto,42487.38,Pending,Accident,MD,234,1,2026-05-25 10:28:28.321957,True,False,True,Critical
199,4849,Home,28904.46,Pending,Accident,IN,189,1,2026-05-25 10:28:28.321967,False,False,True,High
200,1437,Home,26436.27,Denied,Accident,TN,139,0,2026-05-25 10:28:28.321976,False,False,False,High
201,1030,Auto,28615.3,Pending,Accident,LA,184,1,2026-05-25 10:28:28.321987,False,False,True,High
202,2601,Auto,22381.44,Denied,Accident,AK,164,0,2026-05-25 10:28:28.321997,False,False,False,High
203,1637,Life,27431.97,Denied,Accident,OK,158,1,2026-05-25 10:28:28.322007,False,False,True,High
204,4641,Home,14369.28,Approved,Theft,PW,278,1,2026-05-25 10:28:28.322016,False,True,True,Medium
205,4373,Life,20718.17,Pending,Theft,OR,273,0,2026-05-25 10:28:28.322029,False,True,False,High
206,1942,Home,20600.0,Approved,Theft,NC,251,0,2026-05-25 10:28:28.322039,False,True,False,High
207,4816,Life,10169.17,Approved,Accident,DE,112,0,2026-05-25 10:28:28.322049,False,False,False,Medium
208,4459,Auto,3063.61,Approved,Fire,FL,207,1,2026-05-25 10:28:28.322059,False,True,True,Medium
209,3590,Life,46602.35,Approved,Flood,MN,112,0,2026-05-25 10:28:28.322070,True,False,False,Critical
210,4131,Life,39247.13,Approved,Theft,NJ,208,1,2026-05-25 10:28:28.322079,True,True,True,High
211,4342,Auto,12720.59,Pending,Theft,ME,108,0,2026-05-25 10:28:28.322089,False,True,False,Medium
212,1293,Life,47873.89,Approved,Theft,NJ,162,1,2026-05-25 10:28:28.322102,True,True,True,Critical
213,2871,Auto,25802.56,Denied,Fire,OR,182,0,2026-05-25 10:28:28.322118,False,True,False,High
214,3361,Home,39089.31,Denied,Fire,FL,299,1,2026-05-25 10:28:28.322130,True,True,True,High
215,4624,Auto,31140.77,Denied,Fire,MD,107,0,2026-05-25 10:28:28.322143,True,True,True,High
216,2448,Life,14406.02,Denied,Flood,AS,119,0,2026-05-25 10:28:28.322155,False,False,False,Medium
217,2616,Home,17786.94,Denied,Theft,MD,142,0,2026-05-25 10:28:28.322167,False,True,False,Medium
218,4742,Home,36018.38,Pending,Fire,KS,170,0,2026-05-25 10:28:28.322178,True,True,True,High
219,2728,Auto,18944.05,Pending,Fire,NY,236,0,2026-05-25 10:28:28.322189,False,True,False,Medium
220,1246,Life,37877.39,Denied,Fire,PR,116,1,2026-05-25 10:28:28.322201,True,True,True,High
221,2623,Auto,5177.1,Approved,Fire,NJ,251,1,2026-05-25 10:28:28.322212,False,True,True,Medium
222,3316,Home,35430.04,Denied,Fire,CT,210,1,2026-05-25 10:28:28.322224,True,True,True,High
223,1451,Life,23743.42,Approved,Flood,TX,234,1,2026-05-25 10:28:28.322235,False,False,True,High
224,4935,Life,48392.29,Denied,Theft,MH,260,1,2026-05-25 10:28:28.322247,True,True,True,Critical
225,4348,Life,24684.57,Approved,Flood,WV,183,0,2026-05-25 10:28:28.322258,False,False,False,High
226,1482,Auto,24394.34,Denied,Accident,PR,108,0,2026-05-25 10:28:28.322270,False,False,False,High
227,4654,Home,25748.6,Pending,Accident,GA,299,0,2026-05-25 10:28:28.322281,False,False,False,High
228,3069,Auto,1177.44,Pending,Fire,DE,298,0,2026-05-25 10:28:28.322294,False,True,False,Medium
229,4376,Auto,36627.45,Approved,Flood,MH,122,1,2026-05-25 10:28:28.322305,True,False,True,High
230,3119,Auto,23529.27,Pending,Flood,VA,145,0,2026-05-25 10:28:28.322317,False,False,False,High
231,3400,Auto,17274.31,Approved,Flood,DE,117,0,2026-05-25 10:28:28.322328,False,False,False,Medium
232,4572,Auto,34592.27,Pending,Flood,TN,236,0,2026-05-25 10:28:28.322343,True,False,False,High
233,2812,Home,42302.02,Denied,Flood,TX,113,0,2026-05-25 10:28:28.322353,True,False,False,Critical
234,3106,Life,38280.27,Pending,Accident,NM,160,0,2026-05-25 10:28:28.322364,True,False,False,High
235,2331,Home,11978.6,Denied,Fire,WV,124,0,2026-05-25 10:28:28.322374,False,True,False,Medium
236,2526,Home,25921.45,Denied,Accident,GU,213,1,2026-05-25 10:28:28.322384,False,False,True,High
237,4667,Auto,36996.31,Denied,Accident,HI,103,0,2026-05-25 10:28:28.322394,True,False,False,High
238,4958,Home,34251.24,Denied,Fire,TN,129,0,2026-05-25 10:28:28.322403,True,True,True,High
239,1394,Home,22261.93,Denied,Accident,MN,299,0,2026-05-25 10:28:28.322413,False,False,False,High
240,2415,Auto,29051.88,Denied,Flood,FL,244,0,2026-05-25 10:28:28.322423,False,False,False,High
241,4259,Auto,32289.85,Pending,Flood,MI,104,0,2026-05-25 10:28:28.322432,True,False,False,High
242,3934,Life,45577.5,Approved,Accident,ND,159,0,2026-05-25 10:28:28.322442,True,False,False,Critical
243,4709,Auto,35766.29,Pending,Flood,MS,295,0,2026-05-25 10:28:28.322451,True,False,False,High
244,1398,Auto,11613.11,Approved,Fire,RI,112,1,2026-05-25 10:28:28.322461,False,True,True,Medium
245,2615,Life,47455.99,Pending,Fire,ID,101,1,2026-05-25 10:28:28.322471,True,True,True,Critical
246,4973,Home,11507.2,Pending,Accident,MN,248,0,2026-05-25 10:28:28.322481,False,False,False,Medium
247,1313,Home,15849.49,Approved,Accident,NV,236,0,2026-05-25 10:28:28.322491,False,False,False,Medium
248,1792,Home,21332.91,Approved,Flood,MP,170,1,2026-05-25 10:28:28.322502,False,False,True,High
249,1158,Life,9870.53,Denied,Fire,IN,169,0,2026-05-25 10:28:28.322512,False,True,False,Medium
250,3655,Home,9080.25,Approved,Flood,SD,156,0,2026-05-25 10:28:28.322521,False,False,False,Medium
251,3472,Auto,46091.37,Denied,Fire,VI,214,0,2026-05-25 10:28:28.322534,True,True,True,Critical
252,1025,Life,5663.21,Approved,Accident,MP,299,0,2026-05-25 10:28:28.322544,False,False,False,Medium
253,4202,Life,44423.14,Pending,Accident,MA,300,1,2026-05-25 10:28:28.322555,True,False,True,Critical
254,4790,Life,37663.64,Denied,Theft,OK,153,1,2026-05-25 10:28:28.322564,True,True,True,High
255,2095,Life,14619.83,Approved,Theft,GU,233,0,2026-05-25 10:28:28.322574,False,True,False,Medium
256,2074,Life,5934.8,Pending,Flood,UT,198,1,2026-05-25 10:28:28.322584,False,False,True,Medium
257,3992,Life,12522.95,Approved,Fire,TX,225,0,2026-05-25 10:28:28.322594,False,True,False,Medium
258,3375,Auto,44194.6,Pending,Fire,ME,136,0,2026-05-25 10:28:28.322604,True,True,True,Critical
